,Time,Recommendations
0,00:00:00,Freezer
1,00:30:00,Freezer
2,01:00:00,Freezer
3,01:30:00,Freezer
4,02:00:00,Freezer
5,02:30:00,Freezer
6,03:00:00,"Freezer,Gas Boiler"
7,03:30:00,"Gas Boiler,Freezer"
8,04:00:00,"Gas Boiler,Freezer"
9,04:30:00,"Freezer,Gas Boiler"
10,05:00:00,"Freezer,Gas Boiler"
11,05:30:00,"Freezer,Gas Boiler,Kettle & Radio"
12,06:00:00,"Gas Boiler,Freezer,Kettle & Radio"
13,06:30:00,"Gas Boiler,Freezer,Kettle & Radio"
14,07:00:00,"Gas Boiler,Freezer,Kettle & Radio"
15,07:30:00,"Freezer,Gas Boiler"
16,08:00:00,"Freezer,Gas Boiler"
17,08:30:00,"Freezer,Kettle & Radio,Gas Boiler"
18,09:00:00,"Freezer,Kettle & Radio,Gas Boiler"
19,09:30:00,"Freezer,Gas Boiler,Kettle & Radio"
20,10:00:00,"Freezer,Gas Boiler"
21,10:30:00,"Freezer,Gas Boiler"
22,11:00:00,Freezer
23,11:30:00,Freezer
24,12:00:00,Freezer
25,12:30:00,Freezer
26,13:00:00,"Freezer,Gas Boiler"
27,13:30:00,"Freezer,Gas Boiler"
28,14:00:00,"Freezer,Gas Boiler,Kettle & Radio"
29,14:30:00,"Freezer,Gas Boiler"
30,15:00:00,"Freezer,Gas Boiler"
31,15:30:00,"Freezer,Gas Boiler"
32,16:00:00,"Freezer,Gas Boiler"
33,16:30:00,"Gas Boiler,Freezer"
34,17:00:00,"Freezer,Gas Boiler"
35,17:30:00,"Freezer,Gas Boiler"
36,18:00:00,"Freezer,Gas Boiler"
37,18:30:00,"Freezer,Gas Boiler,TV & DVD Digibox & Lamp"
38,19:00:00,"Freezer,Gas Boiler,TV & DVD Digibox & Lamp"
39,19:30:00,"Freezer,Gas Boiler,TV & DVD Digibox & Lamp"
40,20:00:00,"Freezer,Gas Boiler,TV & DVD Digibox & Lamp"
41,20:30:00,"Freezer,Gas Boiler,TV & DVD Digibox & Lamp"
42,21:00:00,"Freezer,TV & DVD Digibox & Lamp,Gas Boiler"
43,21:30:00,"Freezer,Gas Boiler,TV & DVD Digibox & Lamp"
44,22:00:00,"Freezer,TV & DVD Digibox & Lamp"
45,22:30:00,Freezer
46,23:00:00,Freezer
47,23:30:00,Freezer
