,Appliance,Average
0,Laptop,2.5064145228380705
1,Monitor,5.424964432437988
2,Speakers,3.91936521566951
3,Server,15.22491235758164
4,Router,8.515272579988189
5,Server_hdd,2.3492171462898197
6,Kettle,16.831683117556523
7,Rice Cooker,0.8423019574852717
8,Running Machine,1.580841389249968
9,Laptop2,0.2666618946325859
10,Washing Machine,2.7473296728928354
11,Dish Washer,0.7410641537382437
12,Fridge,37.50962909361611
13,Microwave,0.18261789165024275
14,Toaster,0.22399420246495247
15,Playstation,0.7675936688154678
16,Modem,7.617323742714388
17,Cooker,0.0012536471186513761
