,Appliance,Average
0,Laptop,13.993828775782934
1,Monitor,32.102157315133624
2,Speakers,5.875198494194194
3,Server,15.08266470414927
4,Router,8.515583244118039
5,Server_hdd,2.386120687947465
6,Kettle,9.80651136688561
7,Rice Cooker,0.850632947953248
8,Running Machine,1.6519013149764532
9,Laptop2,4.772769922620841
10,Washing Machine,2.850345484288689
11,Dish Washer,43.338245253365024
12,Fridge,38.62362046365394
13,Microwave,6.180798367456478
14,Toaster,0.30664250519341457
15,Playstation,1.00180046396645
16,Modem,7.591200117775201
17,Cooker,0.00197523905899515
