,Appliance,Average
0,Laptop,11.57782705510904
1,Monitor,27.752810026727097
2,Speakers,5.491573885131714
3,Server,15.109216439485264
4,Router,8.439041531181791
5,Server_hdd,2.351309227005207
6,Kettle,27.45923819352165
7,Rice Cooker,2.2814429917872037
8,Running Machine,1.5372924330039355
9,Laptop2,3.515668718366861
10,Washing Machine,35.657020019409664
11,Dish Washer,0.7864669174471101
12,Fridge,38.04423533139649
13,Microwave,17.725721838475167
14,Toaster,2.2448866556617526
15,Playstation,0.7759476477169688
16,Modem,7.603041282548389
17,Cooker,0.059874682058581194
