,Appliance,Average
0,Laptop,2.667100453511724
1,Monitor,3.108352060662021
2,Speakers,3.8996228632812393
3,Server,14.952709796742168
4,Router,8.476553256652833
5,Server_hdd,2.35812340567885
6,Kettle,0.5864034410891746
7,Rice Cooker,0.837971919843814
8,Running Machine,1.5812527789405912
9,Laptop2,0.0058222677953951195
10,Washing Machine,2.7565731142090724
11,Dish Washer,0.7327567685541887
12,Fridge,36.329826482313926
13,Microwave,0.35972178591632514
14,Toaster,0.23177281551583803
15,Playstation,0.7727722742245902
16,Modem,7.509498316015122
17,Cooker,0.021653102665868486
