,Appliance,Average
0,Laptop,7.921863885894963
1,Monitor,21.015302126806905
2,Speakers,4.8081110174568495
3,Server,15.054782256528664
4,Router,8.510279556788964
5,Server_hdd,2.3517417528260287
6,Kettle,17.459751671395953
7,Rice Cooker,0.8421465877966273
8,Running Machine,2.3941010297527465
9,Laptop2,3.1897412689610505
10,Washing Machine,29.58211594171449
11,Dish Washer,17.8044911157441
12,Fridge,36.28208700251172
13,Microwave,3.6215665790360596
14,Toaster,0.21980464672451422
15,Playstation,0.7723517648402429
16,Modem,7.6032148800602775
17,Cooker,0.17961257298708902
