,Appliance,Average
0,Laptop,0.47789893078331175
1,Monitor,0.3076653559758117
2,Speakers,3.885841557901438
3,Server,15.113694624865765
4,Router,8.48312307736969
5,Server_hdd,2.3544713313607293
6,Kettle,0.5831962396669237
7,Rice Cooker,0.8361771820121762
8,Running Machine,1.5668442704100125
9,Laptop2,0.03836201738862551
10,Washing Machine,2.770519486559786
11,Dish Washer,0.7068194165790845
12,Fridge,34.76163211804369
13,Microwave,0.35959743386133153
14,Toaster,0.22777555078370137
15,Playstation,0.7641265668815483
16,Modem,7.554502394542179
17,Cooker,0.04291712429239679
