,Appliance,Average
0,Laptop,13.75424539892212
1,Monitor,33.90900199322507
2,Speakers,6.307263608923088
3,Server,15.10788185149616
4,Router,8.429583678852797
5,Server_hdd,2.32575124594982
6,Kettle,33.14072261124356
7,Rice Cooker,1.0634439445977157
8,Running Machine,2.3487357519453136
9,Laptop2,12.10774154345498
10,Washing Machine,2.825999967790837
11,Dish Washer,115.82533037122087
12,Fridge,40.474938451844345
13,Microwave,3.3172451440627984
14,Toaster,0.24269985822447063
15,Playstation,0.7717995750402972
16,Modem,7.59422757122901
17,Cooker,0.001538666312285815
