,Appliance,Average
0,Laptop,9.370008075884128
1,Monitor,25.737908175512896
2,Speakers,5.7269503557927575
3,Server,14.943223171246686
4,Router,8.441662467837872
5,Server_hdd,2.343965416965396
6,Kettle,8.799661469781787
7,Rice Cooker,0.8776135712175719
8,Running Machine,3.1085678011532325
9,Laptop2,4.505298965924052
10,Washing Machine,8.909819709710435
11,Dish Washer,16.97356582995012
12,Fridge,39.932464122633824
13,Microwave,3.6200952315183397
14,Toaster,0.2956808452681877
15,Playstation,0.7813323290399521
16,Modem,7.603505571079708
17,Cooker,0.0013931667332363414
