,Appliance,Average
0,Laptop,7.529004814660292
1,Monitor,18.595614371050807
2,Speakers,4.389703475027016
3,Server,15.09282597349604
4,Router,8.539617839034454
5,Server_hdd,2.4327199692381063
6,Kettle,32.37557966798453
7,Rice Cooker,0.8474732824789292
8,Running Machine,1.5960995484410603
9,Laptop2,3.3345592915709887
10,Washing Machine,34.11692160185289
11,Dish Washer,17.31868706718373
12,Fridge,35.61483715059557
13,Microwave,6.581487403145151
14,Toaster,0.2228982466492019
15,Playstation,0.776032917000729
16,Modem,7.669081340931101
17,Cooker,0.0014944335306122107
