,Appliance,Average
0,Laptop,0.49381358315772345
1,Monitor,0.3098656319005676
2,Speakers,3.8870203834541517
3,Server,14.931693996375804
4,Router,8.483699626371132
5,Server_hdd,2.346693449785516
6,Kettle,0.5827711315455053
7,Rice Cooker,0.836940103292758
8,Running Machine,1.5627176317760632
9,Laptop2,0.03836407321326704
10,Washing Machine,2.7270960453268733
11,Dish Washer,0.7033236786579323
12,Fridge,35.843045646525724
13,Microwave,0.3599821992679135
14,Toaster,0.23016901633044443
15,Playstation,0.7699788903540036
16,Modem,7.5580845406831365
17,Cooker,0.0059186709143953095
