,Appliance,Average
0,Bedroom Stereo Speakers,1.0015963913351047
1,Desktop,48.66806948238107
2,Hairdryer,0.4546703579012757
3,Primary TV,0.18959632227623277
4,Bedroom TV,0.005701786723684534
5,Treadmill,0.05230394032853085
6,Network Storage,18.433939326136365
7,Core 2 Server,64.99485868730699
8,Secondary TV,0.00019421557692988282
9,PS4,0.0
10,Steam Iron,0.0
11,Espresso Machine,0.4077673508105878
12,PC,23.668363750277493
13,Toaster,0.15383492487460892
14,Home Theatre Amp,25.397820092860425
15,Sky HD Box,14.773560568680884
16,Kettle,2.0040297464079533
17,Freezer,37.670413765420705
18,Oven,3.5435432073965885
19,Electric Hob,0.0
20,Dish Washer,0.0
21,Microwave,42.86152909031672
22,Washer & Dryer,12.3686203391411
23,Vacuum Cleaner,0.0
