,Appliance,Average
0,Bedroom Stereo Speakers,1.0020003166830762
1,Desktop,51.338309366295
2,Hairdryer,0.4817262701277938
3,Primary TV,0.23690569107766427
4,Bedroom TV,0.19368275354479822
5,Treadmill,0.06738350676907423
6,Network Storage,18.502565660036346
7,Core 2 Server,65.70677849155697
8,Secondary TV,9.801548072978662e-05
9,PS4,0.0
10,Steam Iron,0.0
11,Espresso Machine,0.4282032171753854
12,PC,23.974438884289626
13,Toaster,0.1672879713054433
14,Home Theatre Amp,25.545614620448966
15,Sky HD Box,14.429289276145813
16,Kettle,2.004137598195029
17,Freezer,35.643578220058444
18,Oven,3.575370237640687
19,Electric Hob,0.0
20,Dish Washer,0.0
21,Microwave,43.11396346141612
22,Washer & Dryer,12.437096359853575
23,Vacuum Cleaner,6.094588005850804e-05
