,Appliance,Average
0,Bedroom Stereo Speakers,1.0009284481201928
1,Desktop,88.16627156181467
2,Hairdryer,0.4435901151446127
3,Primary TV,1.0573659459716673
4,Bedroom TV,4.118154118297874
5,Treadmill,4.878863262622608
6,Network Storage,18.36808495714083
7,Core 2 Server,65.69291223883945
8,Secondary TV,17.215971328245175
9,PS4,0.0
10,Steam Iron,0.0
11,Espresso Machine,3.0007240824565224
12,PC,24.10143489032281
13,Toaster,3.439314695990648
14,Home Theatre Amp,25.84630739505342
15,Sky HD Box,14.971389967720013
16,Kettle,36.13373600379201
17,Freezer,35.75887864564361
18,Oven,21.769735104387852
19,Electric Hob,9.295946919873439
20,Dish Washer,23.647366857378934
21,Microwave,44.003554666213404
22,Washer & Dryer,74.06604355358621
23,Vacuum Cleaner,37.21274915439675
