,Appliance,Average
0,Bedroom Stereo Speakers,1.0008700836356135
1,Desktop,49.48019895388597
2,Hairdryer,34.85971909499237
3,Primary TV,0.25912190355444514
4,Bedroom TV,0.006291626729582934
5,Treadmill,0.043627136247104806
6,Network Storage,18.372551447110386
7,Core 2 Server,65.57237243025412
8,Secondary TV,0.13203267159087
9,PS4,0.0
10,Steam Iron,0.0
11,Espresso Machine,16.435910958993706
12,PC,24.122523818127004
13,Toaster,0.13428095654626201
14,Home Theatre Amp,25.236333928446406
15,Sky HD Box,14.243891537716287
16,Kettle,5.52266651986381
17,Freezer,36.612326818732775
18,Oven,3.059454665063648
19,Electric Hob,0.0
20,Dish Washer,0.6498107729575281
21,Microwave,42.552226230890774
22,Washer & Dryer,12.321459900907849
23,Vacuum Cleaner,0.0
