,Appliance,Average
0,Bedroom Stereo Speakers,1.0009244477537107
1,Desktop,49.994891919203184
2,Hairdryer,0.5097739207707735
3,Primary TV,1.0951753770100912
4,Bedroom TV,1.2513620051325882
5,Treadmill,0.04518354982783075
6,Network Storage,18.40528153580865
7,Core 2 Server,66.17376434471882
8,Secondary TV,0.0
9,PS4,0.0
10,Steam Iron,0.0
11,Espresso Machine,0.4225298017818572
12,PC,23.980649098146692
13,Toaster,0.16592671933143943
14,Home Theatre Amp,25.52306502660074
15,Sky HD Box,14.858411961899966
16,Kettle,2.0040908712351615
17,Freezer,36.7632611107016
18,Oven,3.586940963662166
19,Electric Hob,0.0
20,Dish Washer,0.0
21,Microwave,43.13924007371913
22,Washer & Dryer,13.035835038494456
23,Vacuum Cleaner,0.0
