,Appliance,Average
0,Bedroom Stereo Speakers,1.0016542667186898
1,Desktop,91.70959660988315
2,Hairdryer,0.44223339753944907
3,Primary TV,1.7263368079440593
4,Bedroom TV,1.9706334027942236
5,Treadmill,0.039382747608115415
6,Network Storage,18.37074804426144
7,Core 2 Server,66.3338774048375
8,Secondary TV,20.38045420775249
9,PS4,0.0
10,Steam Iron,9.587727708533077e-05
11,Espresso Machine,0.37744500388858016
12,PC,24.066312899613532
13,Toaster,2.4536527237441206
14,Home Theatre Amp,25.841570231910694
15,Sky HD Box,15.160986561096713
16,Kettle,12.344878054668227
17,Freezer,34.08013237032658
18,Oven,35.12968292378836
19,Electric Hob,17.395130169508928
20,Dish Washer,24.943809862641288
21,Microwave,45.19589813054805
22,Washer & Dryer,50.735367722163325
23,Vacuum Cleaner,0.0
