,Appliance,Average
0,Bedroom Stereo Speakers,1.0033637383733662
1,Desktop,57.81865381779315
2,Hairdryer,0.5690394309578999
3,Primary TV,2.18592052470928
4,Bedroom TV,10.23095208150715
5,Treadmill,0.045297151603476006
6,Network Storage,18.39952298119452
7,Core 2 Server,65.80139454406547
8,Secondary TV,1.892398049646219
9,PS4,0.0
10,Steam Iron,0.0
11,Espresso Machine,0.4381492199330197
12,PC,24.072771287488095
13,Toaster,0.1860241036653635
14,Home Theatre Amp,26.70296863705013
15,Sky HD Box,16.14311524003558
16,Kettle,2.00616214829809
17,Freezer,33.42433065488669
18,Oven,7.293026528050304
19,Electric Hob,0.0
20,Dish Washer,6.583608302194124
21,Microwave,43.12598030896133
22,Washer & Dryer,25.883897579087503
23,Vacuum Cleaner,0.0
