,Appliance,Average
0,Bedroom Stereo Speakers,1.0016120481319661
1,Desktop,79.8880447695086
2,Hairdryer,2.4036429131875408
3,Primary TV,3.176368613299572
4,Bedroom TV,0.9086344432939071
5,Treadmill,0.09342823882873247
6,Network Storage,18.334000987466627
7,Core 2 Server,65.94075134963185
8,Secondary TV,20.1785379886412
9,PS4,0.0
10,Steam Iron,8.248889961389962
11,Espresso Machine,1.2930273830659191
12,PC,23.95829031027697
13,Toaster,0.1619485249974257
14,Home Theatre Amp,26.777673223827993
15,Sky HD Box,14.831441494418394
16,Kettle,23.61719203844342
17,Freezer,42.44610983053943
18,Oven,39.85523953247654
19,Electric Hob,12.926081295853916
20,Dish Washer,23.228700440887806
21,Microwave,43.49149866995209
22,Washer & Dryer,85.59843410244392
23,Vacuum Cleaner,0.0
