,Appliance,Average
0,Bedroom Stereo Speakers,1.0009974544036047
1,Desktop,72.2633522850115
2,Hairdryer,0.6916035190845928
3,Primary TV,8.928955813723276
4,Bedroom TV,0.5087205978500958
5,Treadmill,12.316855365997593
6,Network Storage,18.335481674652232
7,Core 2 Server,65.32627600643616
8,Secondary TV,13.066559876731846
9,PS4,0.0
10,Steam Iron,0.06352998537298879
11,Espresso Machine,0.4087385383295111
12,PC,24.202065730628522
13,Toaster,0.1540110448608703
14,Home Theatre Amp,30.133911640654663
15,Sky HD Box,16.243789478760686
16,Kettle,19.67748878808556
17,Freezer,38.980040136877015
18,Oven,147.12699989807453
19,Electric Hob,46.562117182334646
20,Dish Washer,34.75637693997972
21,Microwave,49.83487340736874
22,Washer & Dryer,45.311565363948354
23,Vacuum Cleaner,0.015118356186256312
