,Appliance,Average
0,Bedroom Stereo Speakers,1.0022400625025611
1,Desktop,48.711815303802894
2,Hairdryer,0.46824064269392973
3,Primary TV,0.19960757897697454
4,Bedroom TV,0.00602557193945035
5,Treadmill,0.03665469210014368
6,Network Storage,18.41501969513447
7,Core 2 Server,65.14035545804896
8,Secondary TV,0.015105719021283095
9,PS4,0.0
10,Steam Iron,0.02861952861952862
11,Espresso Machine,0.41273936285342694
12,PC,23.949454500545453
13,Toaster,0.1599865413834497
14,Home Theatre Amp,25.43449257117634
15,Sky HD Box,14.78979315555524
16,Kettle,2.0041805088437754
17,Freezer,33.64221341196611
18,Oven,3.552418273763719
19,Electric Hob,0.0
20,Dish Washer,0.0
21,Microwave,42.9286890587171
22,Washer & Dryer,12.382989783337926
23,Vacuum Cleaner,0.0
