,Appliance,Average
0,Bedroom Stereo Speakers,1.0028682701332192
1,Desktop,69.6285047195448
2,Hairdryer,0.4735985747563285
3,Primary TV,27.885217668181642
4,Bedroom TV,4.5496139418033685
5,Treadmill,2.4444138018205193
6,Network Storage,18.386027175599047
7,Core 2 Server,66.24956624350042
8,Secondary TV,8.260237328534323
9,PS4,0.0
10,Steam Iron,11.550671140939597
11,Espresso Machine,1.3599648574332337
12,PC,24.004209814185494
13,Toaster,0.1535796314197225
14,Home Theatre Amp,37.54518007054465
15,Sky HD Box,17.357545554769565
16,Kettle,21.783829492093872
17,Freezer,37.64157328957848
18,Oven,64.05139903337714
19,Electric Hob,13.358340323809204
20,Dish Washer,33.4084779635219
21,Microwave,44.28333865411581
22,Washer & Dryer,44.04028045293118
23,Vacuum Cleaner,0.0
