,Appliance,Average
0,Bedroom Stereo Speakers,1.0009712525985097
1,Desktop,53.00034342602031
2,Hairdryer,3.631522426716291
3,Primary TV,0.4059676281397082
4,Bedroom TV,1.0592274061982134
5,Treadmill,0.031210564927960583
6,Network Storage,18.359272238316358
7,Core 2 Server,65.04940972360636
8,Secondary TV,0.22412175984632055
9,PS4,0.0
10,Steam Iron,0.0
11,Espresso Machine,2.076647159991634
12,PC,23.981592607926885
13,Toaster,0.1349764502801329
14,Home Theatre Amp,25.340377477148984
15,Sky HD Box,14.291922861227386
16,Kettle,4.106890799742262
17,Freezer,34.01119018495619
18,Oven,2.7604279722359375
19,Electric Hob,0.0
20,Dish Washer,0.00732435347530539
21,Microwave,42.79841158226256
22,Washer & Dryer,16.62561302659764
23,Vacuum Cleaner,0.0
