,Appliance,Average
0,Bedroom Stereo Speakers,1.0010671345345437
1,Desktop,48.547132379658194
2,Hairdryer,0.506932657847169
3,Primary TV,0.22409531055632625
4,Bedroom TV,0.00607456032920198
5,Treadmill,0.037519875374732496
6,Network Storage,18.419840251162878
7,Core 2 Server,65.4261971341885
8,Secondary TV,0.000337522775715847
9,PS4,0.0
10,Steam Iron,0.0
11,Espresso Machine,0.4241312121386367
12,PC,23.666815974080148
13,Toaster,0.1900203032891771
14,Home Theatre Amp,25.504004983844975
15,Sky HD Box,14.061119269715848
16,Kettle,6.022097467221555
17,Freezer,37.57583105853851
18,Oven,3.5640794595290264
19,Electric Hob,0.0
20,Dish Washer,0.0
21,Microwave,43.04073266186673
22,Washer & Dryer,12.418417439073398
23,Vacuum Cleaner,0.0
