antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'13:00:00'}),frozenset({'channel_10'}),1.0,0.37681159420289856,0.37681159420289856,0.37681159420289856,1.0,0.0,1.0
frozenset({'13:00:00'}),frozenset({'channel_14'}),1.0,0.2753623188405797,0.2753623188405797,0.2753623188405797,1.0,0.0,1.0
frozenset({'13:00:00'}),frozenset({'channel_16'}),1.0,0.07246376811594203,0.07246376811594203,0.07246376811594203,1.0,0.0,1.0
frozenset({'13:00:00'}),frozenset({'channel_17'}),1.0,0.18115942028985507,0.18115942028985507,0.18115942028985507,1.0,0.0,1.0
frozenset({'13:00:00'}),frozenset({'channel_18'}),1.0,0.050724637681159424,0.050724637681159424,0.050724637681159424,1.0,0.0,1.0
frozenset({'13:00:00'}),frozenset({'channel_19'}),1.0,0.43478260869565216,0.43478260869565216,0.43478260869565216,1.0,0.0,1.0
frozenset({'13:00:00'}),frozenset({'channel_23'}),1.0,0.8695652173913043,0.8695652173913043,0.8695652173913043,1.0,0.0,1.0
frozenset({'13:00:00'}),frozenset({'channel_24'}),1.0,0.09420289855072464,0.09420289855072464,0.09420289855072464,1.0,0.0,1.0
frozenset({'13:00:00'}),frozenset({'channel_3'}),1.0,0.8478260869565217,0.8478260869565217,0.8478260869565217,1.0,0.0,1.0
frozenset({'13:00:00'}),frozenset({'channel_5'}),1.0,0.050724637681159424,0.050724637681159424,0.050724637681159424,1.0,0.0,1.0
frozenset({'13:00:00'}),frozenset({'channel_9'}),1.0,0.782608695652174,0.782608695652174,0.782608695652174,1.0,0.0,1.0
frozenset({'13:00:00'}),"frozenset({'channel_14', 'channel_10'})",1.0,0.21014492753623187,0.21014492753623187,0.21014492753623187,1.0,0.0,1.0
frozenset({'13:00:00'}),"frozenset({'channel_17', 'channel_10'})",1.0,0.13043478260869565,0.13043478260869565,0.13043478260869565,1.0,0.0,1.0
frozenset({'13:00:00'}),"frozenset({'channel_10', 'channel_19'})",1.0,0.17391304347826086,0.17391304347826086,0.17391304347826086,1.0,0.0,1.0
frozenset({'13:00:00'}),"frozenset({'channel_10', 'channel_23'})",1.0,0.34782608695652173,0.34782608695652173,0.34782608695652173,1.0,0.0,1.0
frozenset({'13:00:00'}),"frozenset({'channel_3', 'channel_10'})",1.0,0.37681159420289856,0.37681159420289856,0.37681159420289856,1.0,0.0,1.0
frozenset({'13:00:00'}),"frozenset({'channel_10', 'channel_9'})",1.0,0.37681159420289856,0.37681159420289856,0.37681159420289856,1.0,0.0,1.0
frozenset({'13:00:00'}),"frozenset({'channel_17', 'channel_14'})",1.0,0.10869565217391304,0.10869565217391304,0.10869565217391304,1.0,0.0,1.0
frozenset({'13:00:00'}),"frozenset({'channel_14', 'channel_19'})",1.0,0.13768115942028986,0.13768115942028986,0.13768115942028986,1.0,0.0,1.0
frozenset({'13:00:00'}),"frozenset({'channel_14', 'channel_23'})",1.0,0.2536231884057971,0.2536231884057971,0.2536231884057971,1.0,0.0,1.0
frozenset({'13:00:00'}),"frozenset({'channel_14', 'channel_3'})",1.0,0.26811594202898553,0.26811594202898553,0.26811594202898553,1.0,0.0,1.0
frozenset({'13:00:00'}),"frozenset({'channel_14', 'channel_9'})",1.0,0.2753623188405797,0.2753623188405797,0.2753623188405797,1.0,0.0,1.0
frozenset({'13:00:00'}),"frozenset({'channel_16', 'channel_19'})",1.0,0.050724637681159424,0.050724637681159424,0.050724637681159424,1.0,0.0,1.0
frozenset({'13:00:00'}),"frozenset({'channel_16', 'channel_23'})",1.0,0.057971014492753624,0.057971014492753624,0.057971014492753624,1.0,0.0,1.0
