2013-05-21,5
2013-05-22,3
2013-05-23,1
2013-05-24,2
2013-05-25,3
2013-05-26,4
2013-05-27,4
2013-05-28,2
2013-05-29,6
2013-05-30,3
2013-05-31,6
2013-06-01,5
2013-06-02,5
2013-06-03,4
2013-06-04,6
2013-06-05,3
2013-06-06,6
2013-06-07,5
2013-06-08,4
2013-06-09,3
2013-06-10,5
2013-06-11,3
2013-06-12,4
2013-06-13,5
2013-06-14,3
2013-06-15,4
2013-06-16,2
2013-06-17,4
2013-06-18,1
2013-06-19,1
2013-06-20,7
2013-06-21,17
2013-06-22,6
2013-06-23,1
2013-06-24,4
2013-06-25,4
2013-06-26,2
2013-06-27,3
2013-06-28,4
2013-06-29,4
2013-06-30,5
2013-07-01,7
2013-07-02,5
2013-07-03,3
2013-07-04,6
2013-07-05,4
2013-07-06,4
2013-07-07,4
2013-07-08,3
2013-07-09,4
2013-07-10,9
2013-07-11,16
2013-07-12,7
2013-07-13,3
2013-07-14,3
2013-07-15,4
2013-07-16,7
2013-07-17,4
2013-07-18,3
2013-07-19,3
2013-07-20,2
2013-07-21,5
2013-07-22,5
2013-07-23,1
2013-07-24,4
2013-07-25,4
2013-07-26,1
2013-07-27,3
2013-07-28,5
2013-07-29,3
2013-07-30,3
2013-07-31,6
2013-08-01,3
2013-08-02,3
2013-08-03,3
2013-08-04,3
2013-08-23,5
2013-08-24,3
2013-08-25,2
2013-08-26,1
2013-08-27,2
2013-08-28,4
2013-08-29,3
2013-08-30,4
2013-08-31,2
2013-09-01,4
2013-09-02,4
2013-09-03,2
2013-09-04,5
2013-09-05,4
2013-09-06,3
2013-09-07,2
2013-09-11,1
2013-09-13,6
2013-09-14,4
2013-09-15,4
2013-09-16,1
2013-09-17,3
2013-09-18,2
2013-09-19,5
2013-09-20,2
2013-09-21,1
2013-09-22,3
2013-09-23,1
2013-09-24,7
2013-09-25,2
2013-09-26,2
2013-09-27,3
2013-09-28,2
2013-09-29,2
2013-10-01,2
2013-10-02,8
2013-10-04,1
2013-10-05,2
2013-10-06,4
2013-10-07,2
2013-10-08,3
