,Appliance,Average
0,Laptop,1.283743561807431
1,Monitor,2.8142232455395124
2,Speakers,3.9021061142567306
3,Server,15.001162154807389
4,Router,8.518916866527137
5,Server_hdd,2.3280000049215963
6,Kettle,20.76006652845567
7,Rice Cooker,0.8412527887153854
8,Running Machine,1.5799355531561856
9,Laptop2,0.06305961770585398
10,Washing Machine,2.739596593077134
11,Dish Washer,0.7296582683234616
12,Fridge,37.26941000408819
13,Microwave,13.188179383668555
14,Toaster,0.21646000009722474
15,Playstation,0.7698012446169825
16,Modem,7.6249401594751305
17,Cooker,0.012298318508431804
