,Appliance,Average
0,Laptop,6.277485026688033
1,Monitor,8.731466071862698
2,Speakers,3.9641565145592677
3,Server,14.951574481518803
4,Router,8.467399463621929
5,Server_hdd,2.3333293122590275
6,Kettle,0.5850561715489434
7,Rice Cooker,0.8381534978973435
8,Running Machine,1.570144046297992
9,Laptop2,0.044217201285398834
10,Washing Machine,2.7631377380388287
11,Dish Washer,0.7253371713051839
12,Fridge,37.135723021516874
13,Microwave,0.3613493465521001
14,Toaster,0.23254428770151242
15,Playstation,0.7718493147964645
16,Modem,7.52985218405813
17,Cooker,0.033283890161343095
