,Appliance,Average
0,Laptop,10.994448129596464
1,Monitor,26.54793793010035
2,Speakers,5.5013789013651895
3,Server,14.815690682112825
4,Router,8.407134968737836
5,Server_hdd,2.370208212028127
6,Kettle,22.83330839305153
7,Rice Cooker,2.2112249303055838
8,Running Machine,1.535941998104454
9,Laptop2,3.895477736738987
10,Washing Machine,40.01450637327191
11,Dish Washer,9.207876456435233
12,Fridge,39.58682069417305
13,Microwave,25.00625392743957
14,Toaster,1.396497791674524
15,Playstation,0.7679340247255777
16,Modem,7.543293120709184
17,Cooker,0.06813745239201469
